,Players,Ratings,Season
835,Scott Dann,76,2014
836,Mauro Zarate,76,2014
837,Steven Davis,76,2014
838,Nene,76,2014
839,Anders Lindegaard,76,2014
840,Arouna Kone,76,2014
841,Rob Green,76,2014
842,Stewart Downing,76,2014
843,Peter Crouch,76,2014
844,Jonas Olsson,76,2014
845,Sylvain Distin,76,2014
846,Rickie Lambert,76,2014
847,Enner Valencia,75,2014
848,Adnan Januzaj,75,2014
849,Luke Shaw,75,2014
850,Kurt Zouma,75,2014
851,Jores Okore,75,2014
852,John Stones,75,2014
853,Philipp Wollscheid,75,2014
854,Steven Caulker,75,2014
855,Costel Pantilimon,75,2014
856,Tom Cleverley,75,2014
857,Alex McCarthy,75,2014
858,Francis Coquelin,75,2014
859,Yannick Bolasie,75,2014
860,Mauricio Isla,75,2014
861,Brown Ideye,75,2014
862,Fabio Borini,75,2014
863,Mile Jedinak,75,2014
864,Winston Reid,75,2014
865,Victor Moses,75,2014
866,Fraser Forster,75,2014
867,Eljero Elia,75,2014
868,Jose Enrique,75,2014
869,Stephen Ireland,75,2014
870,Jay Rodriguez,75,2014
871,Ryan Bertrand,75,2014
872,Lee Cattermole,75,2014
873,Morgan Amalfitano,75,2014
874,Charles N'Zogbia,75,2014
875,Curtis Davies,75,2014
876,Matt Jarvis,75,2014
877,Abou Diaby,75,2014
878,Glenn Whelan,75,2014
879,Steven Taylor,75,2014
880,Niko Kranjčar,75,2014
881,Mathieu Flamini,75,2014
882,Àngel Rangel,75,2014
883,Mark Noble,75,2014
884,Leon Britton,75,2014
885,Robert Huth,75,2014
886,Glen Johnson,75,2014
887,Steve Sidwell,75,2014
